LOOKUP 109

LABEL 1410
DATA (11.5, -0.28335198470774725)
DATA (11.75, -0.7401409950674275)
DATA (12.0, -0.608341139991314)
DATA (12.25, -0.4990631806941838)
DATA (12.5, -1.1299697152036638)
DATA (12.75, -0.6194070700584775)
DATA (13.0, -0.5894878462965076)
DATA (13.25, -0.45868434968299054)
DATA (13.5, -0.6857619592431096)
DATA (13.75, -1.0261362026458536)
DATA (14.0, -0.4933233258660234)
DATA (14.25, -0.3882404568084759)
DATA (14.5, -0.4818965537657231)
DATA (14.75, -0.6161003491026116)
DATA (15.0, -0.34878364334201123)
DATA (15.25, -0.7567390946866152)
DATA (15.5, -0.10030993298021919)
DATA (15.75, -0.5271330931822692)
DATA (16.0, -0.031071942038899524)
DATA (16.25, -0.41843144526296266)
DATA (16.5, -1.367201715088202)
DATA (16.75, -1.0238147316526056)
DATA (17.0, -0.3799406528948869)
DATA (17.25, -0.35762067590423535)
POLY (5.0596374246166075e-05, -0.0002238002799574875, -0.03804380113598538, -0.11586538589331843)

LABEL 1510
DATA (0.25, 0.0)
DATA (0.5, 0.06415661173591267)
DATA (0.75, -0.1252704998713575)
DATA (1.0, -0.11645597589712015)
DATA (1.25, -0.17339953851291096)
DATA (1.5, 0.0574507002949619)
DATA (1.75, -0.1323182578535308)
DATA (2.0, -0.16585191745700015)
DATA (2.25, -0.17947508351404642)
DATA (2.5, -0.07392972098141826)
DATA (2.75, -0.0912672665669574)
DATA (3.0, -0.0032781046171128448)
DATA (3.25, 0.320404413466305)
DATA (3.5, -0.017871678931208793)
DATA (3.75, -0.004213984811840758)
DATA (4.0, -0.01933564366173121)
DATA (4.25, -0.3845164388442436)
DATA (4.5, -0.14664712451580542)
DATA (4.75, 0.05267060608734143)
DATA (5.0, 0.016297905682634957)
DATA (5.25, 0.10862247015328247)
DATA (5.5, -0.4201241838089025)
DATA (5.75, 0.022609714645658745)
DATA (6.0, 0.011029259423587222)
DATA (6.25, -0.38899867929306514)
DATA (6.5, -0.23453847903758562)
DATA (6.75, -0.6176957275738606)
DATA (7.0, -0.5922249380213915)
DATA (7.25, -0.619686603572632)
DATA (7.5, -0.6685489658616455)
DATA (7.75, -0.8624501691000023)
DATA (8.0, -0.9794350109182044)
DATA (8.25, -1.2587885500994007)
DATA (8.5, -1.2383470440420408)
DATA (8.75, -1.373549989674758)
DATA (9.0, -1.7404769281880894)
DATA (9.25, -2.0484396625485766)
DATA (9.5, -2.6118341444060404)
DATA (9.75, -2.9356152647471436)
DATA (10.0, -3.1506147934303534)
DATA (10.25, -3.9859331977742705)
DATA (10.5, -4.085991355065497)
DATA (10.75, -4.1632805897605385)
DATA (11.0, -4.528819956687983)
